Nom,Type_1,Type_2,Icône,Description,Niveau,Attribut,ATK,DEF,Prix
"Aether, le Monarque Céleste",Monstre,[ Elfe / Effet ],,"Vous pouvez Invoquer par Sacrifice cette carte en Sacrifiant 1 monstre Invoqué par Sacrifice. Si cette carte est Invoquée par Sacrifice : vous pouvez envoyer au Cimetière 2 Cartes Magie/Piège ""Monarque"" de noms différents depuis votre main et/ou Deck, et si vous le faites, Invoquez Spécialement 1 monstre avec min. 2400 ATK et 1000 DEF depuis votre Deck, mais renvoyez-le à la main durant la End Phase. Durant la Main Phase de votre adversaire, si cette carte est dans votre main : vous pouvez bannir 1 Carte Magie/Piège ""Monarque"" depuis votre Cimetière ; immédiatement après la resolution de cet effet, Invoquez par Sacrifice cette carte (ceci est un Effet Rapide).",8.0,Lumière,2800,1000,0
Agarpain Dragarde,Monstre,[ Dragon / Lien / Effet ],,"2 monstres Dragon
 Vous ne pouvez pas Invoquer Spécialement de monstres (monstres Dragon exclus). Durant votre Main Phase : vous pouvez Invoquer Spécialement 1 monstre Dragon depuis votre Extra Deck, dans une Zone Monstre Extra ou Zone Monstre Main dans laquelle vous pouvez Invoquer pointée par min. 2 Monstres Lien. Vous ne pouvez utiliser cet effet de ""Agarpain Dragarde"" qu'une fois par tour. Vous ne pouvez Invoquer Spécialement un ou plusieurs ""Agarpain Dragarde"" qu'une fois par tour.",13.0,Ténèbres,1500,LINK-2,"0,75"
Agrafeuse Morphtronique,Monstre,[ Machine / Effet ],,"• En Position d'Attaque : Tant que cette carte est face recto sur le Terrain, votre adversaire ne peut pas sélectionner un autre monstre comme cible d'une attaque. Si cette carte est détruite au combat, le monstre qui a détruit cette carte perd 300 d'ATK.
 • En Position de Défense : Cette carte ne peut pas être détruite au combat. Si cette carte est attaquée, après le calcul des dommages, sélectionnez 1 monstre face recto en Position d'Attaque contrôlé par votre adversaire. Changez-le en Position de Défense et cette carte en Position d'Attaque.",4.0,Terre,1400,1000,0
Agrégateur Méréologique,Monstre,[ Cyberse / Xyz / Effet ],,"2+ monstres de Niveau 9
 Si cette carte est Invoquée par Xyz : vous pouvez envoyer 1 monstre depuis votre Extra Deck au Cimetière. Vous pouvez cibler un nombre de monstres dans votre Cimetière, inférieur ou égal au nombre de Matériels que cette carte a ; détachez un nombre de Matériels de cette carte égal au nombre des cibles dans le Cimetière, et si vous le faites, attachez les cibles à cette carte comme Matériel. Si cette carte est envoyée au Cimetière : vous pouvez cibler 1 carte face recto sur le Terrain ; jusqu'à la fin de ce tour, annulez ses effets. Vous ne pouvez utiliser chaque effet de ""Agrégateur Méréologique"" qu'une fois par tour.",9.0,Ténèbres,2600,3000,"0,75"
Agresseur Nocturne,Monstre,[ Démon / Flip / Effet ],,"FLIP : Sélectionnez 1 monstre sur le Terrain de votre adversaire et détruisez-le. Lorsque cette carte est envoyée de votre main au Cimetière, renvoyez 1 Monstre à Effet Flip de votre Cimetière dans votre main.",3.0,Ténèbres,200,500,"0,5"
"Ahrima, le Garde Malfaisant",Monstre,[ Démon / Effet ],,"Vous pouvez défausser cette carte ; ajoutez 1 ""Antre des Ténèbres"" depuis votre Deck à votre main. Vous pouvez Sacrifier 1 monstre TÉNÈBRES ; piochez 1 carte, ou si vous avez Sacrifié un monstre TÉNÈBRES (cette carte exclue) pour activer cet effet, vous pouvez ajouter 1 monstre TÉNÈBRES avec min. 2000 DEF depuis votre Deck à votre main à la place. Vous ne pouvez utiliser cet effet de ""Ahrima, le Garde Malfaisant"" qu'une fois par tour.",4.0,Ténèbres,1700,0,"0,25"
Aideprincesse Potartiste,Monstre,[ Effet / Guerrier ],,"Lorsque vous Invoquez Normalement ou Spécialement un ou plusieurs monstres ""Potartiste"" (""Aideprincesse Potartiste"" exclu), sauf durant la Damage Step : vous pouvez Invoquer Spécialement cette carte depuis votre main.",4.0,Ténèbres,1200,1200,"0,4"
"Aigle à Deux Têtes, Bête Héraldique",Monstre,[ Bête-Ailée / Effet ],,Si cette carte est dans votre Cimetière: vous pouvez cibler 1 Monster Xyz Médaillon que vous contrôlez avec aucun Matériel Xyz; bannir cette carte depuis votre Cimetière et attacher 2 monstres de votre Cimetière à la cible en tant que Matériaux Xyz.,4.0,Vent,1200,1400,2
Aigle Berceau-Gris,Monstre,[ Aqua / Effet ],,"Si cette carte dans votre Zone Monstre est détruite au combat ou par un effet de monstre, et envoyée à votre Cimetière : vous pouvez cibler 1 monstre face recto contrôlé par votre adversaire ; équipez cette carte à la cible. Tant que cette carte est équipée à un monstre par cet effet, prenez le contrôle du monstre. Lorsque cette carte quitte le Terrain, détruisez le monstre équipé.",3.0,Eau,1500,500,"0,75"
Aigle des Terres Brûlantes,Monstre,[ Bête-Ailée / Syntoniseur / Effet ],,"Si cette carte est envoyée au Cimetière pour une Invocation Synchro : vous pouvez Invoquer Spécialement cette carte. Vous devez avoir min. 3 monstres ""Laval"" de noms différents dans votre Cimetière pour activer et résoudre cet effet. Si cette carte est Invoquée Spécialement avec cet effet, bannissez-la lorsqu'elle quitte le Terrain.",1.0,Feu,100,0,1
Aiglepic Potartiste,Monstre,[ Bête-Ailée / Effet ],,"Une fois par tour : vous pouvez cibler 1 monstre face recto que vous contrôlez ; ce tour, s'il attaque un monstre en Position de Défense, infligez des dommages de combat perçants à votre adversaire.",2.0,Vent,900,900,"0,5"
"Aigue-Marine, Chevalier-Gemmes",Monstre,[ Aqua / Fusion / Effet ],,"""Saphir, Chevalier-Gemmes"" + 1 monstre ""Chevalier-Gemmes"" Doit d'abord être Invoquée Spécialement avec les Monstres-Matériels de Fusion ci-dessus. Si cette carte attaque, à la fin de la Battle Phase, elle est changée en Position de Défense. Lorsque cette carte est envoyée depuis le Terrain au Cimetière : ciblez 1 carte contrôlée par votre adversaire ; renvoyez la cible à la main.",6.0,Terre,1400,2600,0
Aiguillon Colonie de Chrome,Monstre,[ Démon / Effet ],,"Lorsque cette carte que vous contrôlez est envoyée à votre Cimetière : ciblez 1 Monstre Rituel, de Fusion ou Synchro face recto sur le Terrain ; détruisez la cible.",4.0,Ténèbres,1850,0,1
Aile Aurore,Monstre,[ Bête-Ailée / Effet ],,"Lorsque cette carte est détruire au combat et envoyée au Cimetière : vous pouvez Invoquer Spécialement cette carte en Position d'Attaque face recto. Vous ne pouvez utiliser l'effet de ""Aile d'Aurore"" qu'une fois par tour"".",4.0,Eau,1200,1600,"0,25"
Aile Cipher,Monstre,[ Machine / Effet ],,"Si vous contrôlez un monstre ""Cipher"" (""Soldat Kinésique""inclus) dans votre Zone Monstre, vous pouvez Invoquer Spécialement cette carte (depuis votre main). Vous pouvez Sacrifier cette carte ; jusqu'à la fin de ce tour, augmentez le Niveau de tous les monstres ""Cipher"" (""Soldat Kinésique"" inclus) que vous contrôlez actuellement de 4.",4.0,Lumière,1400,1200,"0,25"
"Aile Claire, Roi Suprême du Dragon",Monstre,[ Dragon / Synchro / Effet ],,"1 Syntoniseur + 1+ Monstre Pendule non-Syntoniseur TÉNÈBRES
 Si cette carte est Invoquée par Synchronisation : vous pouvez détruire tous les monstres face recto contrôlés par votre adversaire. Une fois par tour, avant le calcul des dommages, si cette carte combat un monstre de votre adversaire : vous pouvez détruire le monstre, et si vous le faites, infligez des dommages à votre adversaire égaux à l'ATK d'origine du monstre détruit. Si cette carte est dans votre Cimetière : vous pouvez Sacrifier 2 monstres ""Roi Suprême du Dragon"" ; Invoquez Spécialement cette carte.",8.0,Ténèbres,2500,2000,0
Aile du Raid,Monstre,[ Bête-Ailée / Effet ],,"(Cette carte est toujours traitée comme une carte ""Les Chevaliers Fantômes"" et ""Raidraptor"".)
 Si cette carte est dans votre main ou Cimetière : vous pouvez détacher 1 Matériel de votre Monstre Xyz TÉNÈBRES ; Invoquez Spécialement cette carte, mais bannissez-la lorsqu'elle quitte le Terrain. Vous ne pouvez utiliser cet effet de ""Aile du Raid"" qu'une fois par tour. Un Monstre Xyz dont l'Attribut d'origine est TÉNÈBRES et qui a cette carte comme Matériel gagne cet effet.
 • Votre adversaire ne peut pas cibler cette carte avec des effets de carte.",4.0,Ténèbres,0,2000,"0,65"
"Aile Infernale, Héros du Mal",Monstre,[ Démon / Fusion / Effet ],,"""Avian, Héros Elémentaire"" + ""Burstinatrix, Héros Elémentaire""
 
 Cette carte ne peut pas être Invoquée Spécialement excepté avec ""Fusion des Ténèbres"". Durant un combat entre cette carte attaquant et un monstre en Position de Défense dont la DEF est inférieure à l'ATK de cette carte, infligez la différence en tant que dommages de combat à votre adversaire. Lorsque cette carte détruit un monstre au combat et l'envoie au Cimetière, infligez aux Life Points de votre adversaire des dommages égaux à la valeur d'ATK ou de DEF du monstre détruit, choisissez la plus élevée.",6.0,Feu,2100,1200,"1,5"
Aile Noire - Arsenal Aérien,Monstre,[ Bête-Ailée / Synchro / Effet ],,"1 Syntoniseur ""Aile Noire"" + 1 monstre non Syntoniseur ou plus
 
 Si cette carte attaque un monstre en Position de Défense, elle gagne 500 points d'ATK uniquement durant la Damage Step. Durant un combat entre cette carte attaquant et un monstre en Position de Défense dont la DEF est inférieure à l'ATK de cette carte, infligez la différence en tant que dommages de combat à votre adversaire.",6.0,Ténèbres,2300,1000,"2,5"
Aile Noire - Abrolhos le Méga Séisme,Monstre,[ Bête-Ailée / Effet ],,"Cette carte ne peut pas être Invoquée Spécialement. Tous les monstres qui combattent cette carte ne sont pas détruits et retournent à la main après le calcul des dommages. Une fois par tour, durant votre Main Phase 1, vous pouvez réduire l'ATK de cette carte de 1000 points et renvoyer toutes les cartes dans la Zone Carte Magie & Piège de votre adversaire à la main.",7.0,Ténèbres,2600,1800,0
Aile Noire - Aurora la Lumière du Nord,Monstre,[ Bête-Ailée / Effet ],,"Cette carte ne peut ni être Invoquée Normalement ni être Posée. Cette carte ne peut pas être Invoquée Spécialement, excepté en retirant du jeu 1 monstre Syntoniseur ""Aile Noire"" face recto et 1 monstre non Syntoniseur face recto que vous contrôlez. Une fois par tour, vous pouvez retirer du jeu 1 Monstre Synchro ""Aile Noire"" depuis votre Extra Deck. Le nom de cette carte, ATK et effets deviennent les mêmes que ce monstre jusqu'à la End Phase.",10.0,Lumière,?,0,0
Aile Noire - Auster le Vent du Sud,Monstre,[ Bête-Ailée / Syntoniseur / Effet ],,"Non Invocable Spécialement. Lorsque cette carte est Invoquée Normalement : vous pouvez cibler 1 de vos monstres ""Aile Noire"" de max. Niveau 4 bannis ; Invoquez-le Spécialement en Position de Défense. Vous pouvez bannir cette carte depuis le Cimetière pour activer 1 des effets suivants ;
 ?Placez un nombre de Compteurs Plumes Noires sur 1 ""Dragon Ailes Sombres"" que vous contrôlez, égal au nombre de cartes contrôlées par votre adversaire.
 ?Placez 1 Compteur Cuirasse sur chaque monstre face recto contrôlé par votre adversaire qui n'en a pas.",4.0,Ténèbres,1300,0,"0,25"
"Aile Noire - Blizzard, la Tempête d'Extrême Nord",Monstre,[ Bête-Ailée / Syntoniseur / Effet ],,"Cette carte ne peut pas être Invoquée Spécialement. Lorsque cette carte est Invoquée Normalement, vous pouvez Invoquer Spécialement 1 monste ""Aile Noire"" de Niveau 4 ou moins depuis votre Cimetière en Position de Défense face recto.",2.0,Ténèbres,1300,0,0
Aile Noire - Bora la Lance,Monstre,[ Bête-Ailée / Effet ],,"Si vous contrôlez un monstre ""Aile Noire"" autre que ""Aile Noire - Bora la Lance"", vous pouvez Invoquer Spécialement cette carte depuis votre main. Durant un combat entre cette carte attaquant et un monstre en Position de Défense dont la DEF est infèrieure à l'ATK de cette carte, infligez la différence en tant que dommages de combat à votre adversaire.",4.0,Ténèbres,1700,800,"0,25"
Aile Noire - Boreas le Tranchant,Monstre,[ Bête-Ailée / Effet ],,"Vous pouvez retirer du jeu cette carte depuis votre Cimetière pour sélectionner 1 monstre ""Aile Noire"" face recto que vous contrôlez. Si ce monstre attaque ce tour, vous ne recevez aucun dommage de combat de ce combat, il n'est pas détruit par ce combat et vous détruisez le monstre de l'adversaire qui l'a combattu, après le calcul des dommages.",5.0,Ténèbres,1300,900,0
Aile Noire - Boreastempête le Vent Malfaisant,Monstre,[ Bête-Ailée / Synchro / Syntoniseur / Effet ],,"1 Syntoniseur TÉNÈBRES + 1+ monstre non-Syntoniseur
 Si cette carte est Invoquée par Synchronisation : vous pouvez envoyer 1 monstre ""Aile Noire"" depuis votre Deck au Cimetière, et si vous le faites, le Niveau de cette carte devient le même que celui du monstre. Lorsque cette carte détruit un monstre au combat et l'envoie au Cimetière : vous pouvez bannir 1 monstre ""Aile Noire"" depuis votre Cimetière ou Terrain face recto (le monstre détruit exclu) ; Invoquez Spécialement le monstre détruit sur votre Terrain en Position de Défense. Vous ne pouvez utiliser chaque effet de ""Aile Noire - Boreastempête le Vent Malfaisant"" qu'une fois par tour.",6.0,Ténèbres,2400,1600,1
Aile Noire - Brise le Zéphyr,Monstre,[ Bête-Ailée / Syntoniseur / Effet ],,"Si cette carte est ajoutée depuis votre Deck à votre main par l'effet d'une Carte Magie, Piège ou Monstre, vous pouvez Invoquer Spécialement cette carte depuis votre main. Cette carte ne peut pas être utilisée en tant que Monstre-Matériel de Synchro, excepté pour l'Invocation Synchro d'un monstre ""Aile Noire"".",3.0,Ténèbres,1100,300,55
Aile Noire - Brisote le Vent Arrière,Monstre,[ Bête-Ailée / Effet ],,"Si 2 monstres ""Aile Noire"" face recto ou plus que vous contrôlez sont détruits le même tour, vous pouvez Invoquer Spécialement cette carte depuis votre main. Si cette carte est envoyée au Cimetière en tant que Monstre-Matériel de Synchro, vous gagnez 600 Life Points.",5.0,Ténèbres,1200,1800,"0,3"
Aile Noire - Chinook le Souffle de Neige,Monstre,[ Bête-Ailée / Effet ],,"Vous pouvez envoyer cette carte depuis votre main ou Terrain au Cimetière, puis ciblez 1 monstre face recto contrôlé par votre adversaire ; envoyez 1 Monstre Synchro ""Aile Noire"" ou 1 ""Dragon Ailes Sombres"" depuis votre Extra Deck au Cimetière, et si vous le faites, jusqu'à la fin de ce tour, le monstre ciblé perd 700 ATK, et aussi, annulez ses effets. Ceci est un Effet Rapide si vous contrôlez un Monstre Synchro TÉNÈBRES. Vous ne pouvez utiliser cet effet de ""Aile Noire - Chinook le Souffle de Neige"" qu'une fois par tour.",2.0,Ténèbres,100,700,0
Aile Noire - Calima la Brume,Monstre,[ Bête-Ailée / Effet ],,"Durant la Battle Phase de votre adversaire, si vous ne contrôlez aucun monstre, vous pouvez retirer du jeu cette carte depuis le Cimetière pour sélectionner 1 Monstre Synchro dans votre Cimetière et l'Invoquer Spécialement. Il est retiré du jeu à la fin de la Battle Phase.",4.0,Ténèbres,600,1800,0
Aile Noire - Damascus De La Nuit Polaire,Monstre,[ Bête-Ailée / Effet ],,Pendant le tour de n'importe quel joueur: Vous pouvez défausser cette carte pour cibler 1 Monstre face recto Aile Noire que vous contrôlez; cette cible gagne 500 points d'ATK jusqu'à la End Phase.,3.0,Ténèbres,1300,700,0
Aile Noire - Décomposition le Vent Néfaste,Monstre,[ Bête-Ailée / Syntoniseur / Effet ],,"Une fois par tour, durant la End Phase, si cette carte est dans le Cimetière parce qu'elle y a été envoyée ce tour : recevez 1000 points de dommages. Lorsque cette carte est Invoquée Normalement ou Spécialement : vous pouvez cibler 1 monstre ""Aile Noire"" que vous contrôlez, puis activez 1 de ces effets ;
 • Augmentez son Niveau de 1.
 • Réduisez son Niveau de 1.
 Vous ne pouvez utiliser cet effet de ""Aile Noire - Décomposition le Vent Néfaste"" qu'une fois par tour.",4.0,Ténèbres,1000,1000,"0,5"
